Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,14009241,28.0,9.0,10.0,9.0,,,,,,,,,
A01,14001340,27.8,9.0,9.0,,9.8,,,,,,,,
A02,14001416,26.55,8.8,9.0,,,8.75,,,,,,,
A07,14007471,28.05,8.8,,,,,9.75,9.5,,,,,
A08,14007471,28.55,8.8,,,,,9.75,,10.0,,,,
A09,14007471,28.3,8.8,,,,,,9.5,10.0,,,,
B00,14001345,28.0,9.0,,9.75,,9.25,,,,,,,
B03,14004119,26.15,8.4,,,,9.0,,,,8.75,,,
B08,14001530,26.75,9.4,,,8.6,8.75,,,,,,,
C00,14001737,28.75,,,,,,10.0,10.0,,8.75,,,
C01,14001525,26.2,9.2,9.25,,,,,,,7.75,,,
C02,14001345,26.5,9.0,,9.75,,,,,,7.75,,,
C03,14007471,27.05,8.8,,,,,9.75,,,8.5,,,
C04,14007471,26.8,8.8,,,,,,9.5,,8.5,,,
C05,14001854,26.5,,9.0,9.0,,,,,,8.5,,,
C06,14001854,26.25,,9.0,,,8.75,,,,8.5,,,
C08,14004119,27.0,,,9.25,,9.0,,,,8.75,,,
C14,14000694,27.4,8.4,,,,,,,10.0,9.0,,,
C19,14003897,28.75,,,,,,10.0,,10.0,8.75,,,
C20,14001737,28.5,,,,,,,10.0,9.75,8.75,,,
D01,14012501,27.45,9.0,,,9.2,,,,,9.25,,,
D04,14009486,24.4,7.8,,,,,,,,8.0,8.6,,
D06,14001864,26.05,8.2,,,,,,,,8.25,,9.6,
D07,14001589,27.45,8.8,,9.25,9.4,,,,,,,,
D08,14001530,26.75,9.4,,,8.6,8.75,,,,,,,
D09,14001522,26.55,8.6,,,9.2,,8.75,,,,,,
D10,14001522,27.05,8.6,,,9.2,,,9.25,,,,,
D11,14003170,26.9,,8.75,,9.4,,,,,8.75,,,
D12,14012501,26.45,,,8.0,9.2,,,,,9.25,,,
D13,14001499,26.9,,,,9.4,9.0,,,,8.5,,,
D14,14009692,27.45,,,,9.2,,9.75,,,8.5,,,
D15,14009636,27.05,,,,8.8,,,9.5,,8.75,,,
D18,14001864,26.8,8.2,,,,,,9.0,,,,9.6,
D20,14001510,25.6,8.2,,,,,,8.0,,,9.4,,
D43,14001864,26.85,,,,,,,9.0,,8.25,,9.6,
D45,14001366,25.8,,,,,,,9.25,,7.75,8.8,,
D63,14001864,26.35,,,,,,8.5,,,8.25,,9.6,
D65,14001366,25.8,,,,,,9.25,,,7.75,8.8,,
D66,14000694,28.0,,,,9.0,,,,10.0,9.0,,,
D69,14001864,27.35,,,,,,,,9.5,8.25,,9.6,
D84,14000694,27.4,8.4,,,9.0,,,,10.0,,,,
D88,14001864,27.3,8.2,,,,,,,9.5,,,9.6,
DD2,14009622,24.5,7.2,,,,,,,,8.5,,,8.8
DH1,14009622,26.05,,,,,,,8.75,,8.5,,,8.8
