Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,22004808,29.1,9.6,9.5,10.0,,,,,,,,,,
A01,22015614,27.95,8.8,9.75,,9.4,,,,,,,,,
A02,22013290,27.7,9.2,9.75,,,8.75,,,,,,,,
A07,22003688,27.9,8.4,,,,,9.75,9.75,,,,,,
A08,22000236,28.2,9.2,,,,,9.25,,9.75,,,,,
A09,22000236,28.2,9.2,,,,,,9.25,9.75,,,,,
B00,22015999,28.95,9.2,,10.0,,9.75,,,,,,,,
B03,22015999,27.45,9.2,,,,9.75,,,,8.5,,,,
B08,22013909,27.3,9.2,,,8.6,9.5,,,,,,,,
C00,22009514,29.0,,,,,,10.0,9.5,,9.5,,,,
C01,22013290,27.45,9.2,9.75,,,,,,,8.5,,,,
C02,22000208,28.2,9.2,,10.0,,,,,,9.0,,,,
C03,22000236,27.45,9.2,,,,,9.25,,,9.0,,,,
C04,22000236,27.45,9.2,,,,,,9.25,,9.0,,,,
C05,22012117,27.75,,9.0,9.5,,,,,,9.25,,,,
C06,22013290,27.0,,9.75,,,8.75,,,,8.5,,,,
C08,22015802,28.25,,,9.5,,9.25,,,,9.5,,,,
C14,22000236,27.95,9.2,,,,,,,9.75,9.0,,,,
C19,22009337,29.0,,,,,,9.75,,10.0,9.25,,,,
C20,22009337,28.75,,,,,,,9.5,10.0,9.25,,,,
D01,22009358,27.85,8.8,,,9.8,,,,,9.25,,,,
D04,22014847,26.35,8.2,,,,,,,,8.75,9.4,,,
D05,22013922,19.65,7.6,,,,,,,,7.25,,4.8,,
D06,22014575,26.6,8.0,,,,,,,,9.0,,,9.6,
D07,22000103,28.3,9.6,,9.5,9.2,,,,,,,,,
D08,22013909,27.3,9.2,,,8.6,9.5,,,,,,,,
D09,22000343,27.6,9.0,,,9.6,,9.0,,,,,,,
D10,22007000,27.8,9.0,,,8.8,,,10.0,,,,,,
D11,22009358,27.8,,8.75,,9.8,,,,,9.25,,,,
D12,22009358,27.8,,,8.75,9.8,,,,,9.25,,,,
D13,22000026,27.15,,,,9.4,8.75,,,,9.0,,,,
D14,22009514,28.5,,,,9.0,,10.0,,,9.5,,,,
D15,22006286,28.8,,,,9.8,,,9.75,,9.25,,,,
D16,22013922,19.65,7.6,,,,,,7.25,,,,4.8,,
D18,22014575,24.1,8.0,,,,,,6.5,,,,,9.6,
D20,22014847,24.85,8.2,,,,,,7.25,,,9.4,,,
D23,22014829,20.65,9.0,,8.25,,,,,,,,,3.4,
D25,22004668,25.85,9.6,,8.25,,,,,,,8.0,,,
D28,22014829,20.9,9.0,8.5,,,,,,,,,,3.4,
D30,22004668,26.1,9.6,8.5,,,,,,,,8.0,,,
D33,22014829,17.9,9.0,,,,5.5,,,,,,,3.4,
D35,22004668,25.6,9.6,,,,8.0,,,,,8.0,,,
D41,22013922,19.3,,,,,,,7.25,,7.25,,4.8,,
D43,22014575,25.1,,,,,,,6.5,,9.0,,,9.6,
D45,22013581,26.0,,,,,,,8.0,,9.0,9.0,,,
D55,22007445,24.2,,7.5,,,,,,,8.5,8.2,,,
D61,22013922,17.8,,,,,,5.75,,,7.25,,4.8,,
D63,22014575,25.1,,,,,,6.5,,,9.0,,,9.6,
D65,22000189,26.15,,,,,,9.5,,,9.25,7.4,,,
D66,22008159,29.25,,,,10.0,,,,9.75,9.5,,,,
D69,22014575,27.6,,,,,,,,9.0,9.0,,,9.6,
D84,22000060,28.3,9.2,,,9.6,,,,9.5,,,,,
D85,22013922,20.65,7.6,,,,,,,8.25,,,4.8,,
D88,22014575,26.6,8.0,,,,,,,9.0,,,,9.6,
DD2,22015629,25.95,8.6,,,,,,,,8.75,,,,8.6
DH1,22007776,25.2,,,,,,,7.5,,8.5,,,,9.2
