Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Nga (Tiếng Nga - Mã: N2),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,24004198,28.5,9.0,9.75,9.75,,,,,,,,,,
A01,24000206,28.05,9.0,9.25,,9.8,,,,,,,,,
A02,24005061,27.35,9.6,9.0,,,8.75,,,,,,,,
A07,24002740,28.6,8.6,,,,,10.0,10.0,,,,,,
A08,24000411,28.55,8.8,,,,,9.75,,10.0,,,,,
A09,24004537,28.3,8.8,,,,,,9.75,9.75,,,,,
B00,24008502,28.15,9.4,,9.75,,9.0,,,,,,,,
B03,24005061,27.6,9.6,,,,8.75,,,,9.25,,,,
B08,24000378,27.45,8.8,,,9.4,9.25,,,,,,,,
C00,24001846,29.25,,,,,,10.0,10.0,,9.25,,,,
C01,24004734,27.95,9.2,9.0,,,,,,,9.75,,,,
C02,24005047,28.1,9.6,,9.75,,,,,,8.75,,,,
C03,24000128,28.1,8.6,,,,,9.75,,,9.75,,,,
C04,24003059,28.05,8.8,,,,,,9.5,,9.75,,,,
C05,24000259,28.0,,9.0,10.0,,,,,,9.0,,,,
C06,24000111,27.25,,8.75,,,8.75,,,,9.75,,,,
C08,24000111,27.75,,,9.25,,8.75,,,,9.75,,,,
C14,24002413,28.3,8.8,,,,,,,9.75,9.75,,,,
C19,24000244,29.25,,,,,,10.0,,10.0,9.25,,,,
C20,24005999,29.25,,,,,,,9.75,10.0,9.5,,,,
D01,24003968,28.3,9.4,,,9.4,,,,,9.5,,,,
D02,24000353,28.1,8.6,,,,,,,,9.5,10.0,,,
D04,24002917,26.9,8.2,,,,,,,,9.5,,9.2,,
D06,24008771,24.55,8.4,,,,,,,,9.75,,,6.4,
D07,24000259,28.0,8.8,,10.0,9.2,,,,,,,,,
D08,24000378,27.45,8.8,,,9.4,9.25,,,,,,,,
D09,24006404,28.35,8.8,,,9.8,,9.75,,,,,,,
D10,24006404,27.85,8.8,,,9.8,,,9.25,,,,,,
D11,24000111,28.1,,8.75,,9.6,,,,,9.75,,,,
D12,24000111,28.6,,,9.25,9.6,,,,,9.75,,,,
D13,24000111,28.1,,,,9.6,8.75,,,,9.75,,,,
D14,24006404,29.05,,,,9.8,,9.75,,,9.5,,,,
D15,24003686,28.8,,,,9.8,,,9.5,,9.5,,,,
D17,24000123,26.95,8.4,,,,,,8.75,,,9.8,,,
D18,24008771,23.8,8.4,,,,,,9.0,,,,,6.4,
D20,24002917,26.9,8.2,,,,,,9.5,,,,9.2,,
D25,24000384,22.4,7.0,,7.0,,,,,,,,8.4,,
D30,24002510,22.25,8.6,6.25,,,,,,,,,7.4,,
D35,24000384,22.9,7.0,,,,7.5,,,,,,8.4,,
D42,24000123,27.55,,,,,,,8.75,,9.0,9.8,,,
D43,24008771,25.15,,,,,,,9.0,,9.75,,,6.4,
D45,24002917,28.2,,,,,,,9.5,,9.5,,9.2,,
D55,24000384,22.9,,6.25,,,,,,,8.25,,8.4,,
D62,24000353,27.75,,,,,,8.25,,,9.5,10.0,,,
D63,24008771,23.15,,,,,,7.0,,,9.75,,,6.4,
D65,24002917,27.7,,,,,,9.0,,,9.5,,9.2,,
D66,24006404,29.05,,,,9.8,,,,9.75,9.5,,,,
D68,24000123,28.3,,,,,,,,9.5,9.0,9.8,,,
D69,24008771,25.4,,,,,,,,9.25,9.75,,,6.4,
D84,24003420,28.35,8.6,,,10.0,,,,9.75,,,,,
D86,24000123,27.7,8.4,,,,,,,9.5,,9.8,,,
D88,24008771,24.05,8.4,,,,,,,9.25,,,,6.4,
DD2,24003541,23.05,7.4,,,,,,,,9.25,,,,6.4
DH1,24003541,24.4,,,,,,,8.75,,9.25,,,,6.4
