Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,30013957,28.7,9.2,9.5,10.0,,,,,,,,,
A01,30008389,28.35,8.8,9.75,,9.8,,,,,,,,
A02,30004798,27.2,9.2,9.0,,,9.0,,,,,,,
A07,30010167,28.25,9.0,,,,,9.5,9.75,,,,,
A08,30010167,28.5,9.0,,,,,9.5,,10.0,,,,
A09,30010167,28.75,9.0,,,,,,9.75,10.0,,,,
B00,30005680,28.2,9.2,,9.75,,9.25,,,,,,,
B03,30001090,27.35,8.6,,,,9.25,,,,9.5,,,
B08,30005141,27.45,9.4,,,8.8,9.25,,,,,,,
C00,30005361,29.5,,,,,,10.0,10.0,,9.5,,,
C01,30013957,27.7,9.2,9.5,,,,,,,9.0,,,
C02,30008706,28.4,9.4,,9.5,,,,,,9.5,,,
C03,30004393,28.1,8.6,,,,,10.0,,,9.5,,,
C04,30011946,28.1,8.6,,,,,,9.75,,9.75,,,
C05,30013957,28.5,,9.5,10.0,,,,,,9.0,,,
C06,30003382,27.25,,9.25,,,9.0,,,,9.0,,,
C08,30001090,27.75,,,9.0,,9.25,,,,9.5,,,
C14,30004100,28.1,8.6,,,,,,,10.0,9.5,,,
C19,30000659,29.25,,,,,,9.75,,10.0,9.5,,,
C20,30003649,29.5,,,,,,,10.0,10.0,9.5,,,
D01,30010734,28.5,9.2,,,9.8,,,,,9.5,,,
D03,30005390,27.45,8.6,,,,,,,,9.25,9.6,,
D04,30009145,27.1,7.8,,,,,,,,9.5,,9.8,
D07,30011828,28.55,9.0,,9.75,9.8,,,,,,,,
D08,30005141,27.45,9.4,,,8.8,9.25,,,,,,,
D09,30010979,28.1,9.0,,,9.6,,9.5,,,,,,
D10,30005637,28.35,8.6,,,10.0,,,9.75,,,,,
D11,30010884,27.95,,9.5,,9.2,,,,,9.25,,,
D12,30008706,28.0,,,9.5,9.0,,,,,9.5,,,
D13,30005622,27.35,,,,9.6,8.25,,,,9.5,,,
D14,30011634,28.55,,,,9.8,,9.25,,,9.5,,,
D15,30012133,28.6,,,,9.6,,,9.75,,9.25,,,
D19,30005653,26.55,8.0,,,,,,8.75,,,9.8,,
D20,30000752,26.95,8.8,,,,,,9.75,,,,8.4,
D24,30005456,22.75,7.6,,5.75,,,,,,,9.4,,
D25,30009167,18.75,7.8,,4.75,,,,,,,,6.2,
D29,30005558,24.4,8.2,7.0,,,,,,,,9.2,,
D30,30009167,20.5,7.8,6.5,,,,,,,,,6.2,
D34,30005558,24.4,8.2,,,,7.0,,,,,9.2,,
D35,30009167,19.0,7.8,,,,5.0,,,,,,6.2,
D44,30005653,28.05,,,,,,,8.75,,9.5,9.8,,
D45,30008482,28.1,,,,,,,10.0,,9.5,,8.6,
D54,30005558,24.7,,7.0,,,,,,,8.5,9.2,,
D55,30009167,21.2,,6.5,,,,,,,8.5,,6.2,
D64,30005653,28.55,,,,,,9.25,,,9.5,9.8,,
D65,30008482,27.6,,,,,,9.5,,,9.5,,8.6,
D66,30011221,29.1,,,,9.6,,,,10.0,9.5,,,
D70,30005653,28.8,,,,,,,,9.5,9.5,9.8,,
D84,30015419,28.4,9.0,,,9.4,,,,10.0,,,,
D87,30005390,27.45,8.6,,,,,,,9.25,,9.6,,
DD2,30014193,24.05,7.8,,,,,,,,9.25,,,7.0
