Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6)
A00,33003967,28.8,8.8,10.0,10.0,,,,,,,,,,
A01,33010802,28.05,9.0,9.25,,9.8,,,,,,,,,
A02,33000471,27.45,9.2,9.25,,,9.0,,,,,,,,
A07,33009167,28.05,8.8,,,,,10.0,9.25,,,,,,
A08,33009167,28.3,8.8,,,,,10.0,,9.5,,,,,
A09,33000452,27.85,8.6,,,,,,9.5,9.75,,,,,
B00,33003507,28.9,9.4,,9.75,,9.75,,,,,,,,
B03,33001732,27.45,9.2,,,,9.25,,,,9.0,,,,
B08,33001732,28.45,9.2,,,10.0,9.25,,,,,,,,
C00,33010263,29.25,,,,,,9.5,10.0,,9.75,,,,
C01,33012683,27.5,9.0,9.5,,,,,,,9.0,,,,
C02,33001732,28.2,9.2,,10.0,,,,,,9.0,,,,
C03,33009167,27.8,8.8,,,,,10.0,,,9.0,,,,
C04,33000452,27.6,8.6,,,,,,9.5,,9.5,,,,
C05,33012683,28.5,,9.5,10.0,,,,,,9.0,,,,
C06,33008282,27.0,,9.25,,,8.5,,,,9.25,,,,
C08,33003910,28.5,,,10.0,,9.75,,,,8.75,,,,
C14,33003490,28.05,8.8,,,,,,,10.0,9.25,,,,
C19,33003855,29.0,,,,,,9.75,,9.5,9.75,,,,
C20,33000452,28.75,,,,,,,9.5,9.75,9.5,,,,
D01,33001732,28.2,9.2,,,10.0,,,,,9.0,,,,
D03,33003398,27.9,8.6,,,,,,,,9.5,9.8,,,
D04,33003013,27.15,8.2,,,,,,,,9.75,,9.2,,
D05,33004103,24.1,8.4,,,,,,,,8.5,,,7.2,
D06,33003835,27.85,9.0,,,,,,,,9.25,,,,9.6
D07,33001732,29.2,9.2,,10.0,10.0,,,,,,,,,
D08,33001732,28.45,9.2,,,10.0,9.25,,,,,,,,
D09,33003885,27.15,8.8,,,9.6,,8.75,,,,,,,
D10,33003743,27.3,8.2,,,9.6,,,9.5,,,,,,
D11,33010882,27.65,,9.25,,9.4,,,,,9.0,,,,
D12,33001732,29.0,,,10.0,10.0,,,,,9.0,,,,
D13,33001732,28.25,,,,10.0,9.25,,,,9.0,,,,
D14,33004599,28.2,,,,9.2,,10.0,,,9.0,,,,
D15,33003743,28.6,,,,9.6,,,9.5,,9.5,,,,
D18,33003637,27.4,8.4,,,,,,9.0,,,,,,10.0
D19,33003399,27.0,8.4,,,,,,9.0,,,9.6,,,
D20,33003013,25.4,8.2,,,,,,8.0,,,,9.2,,
D21,33004103,23.35,8.4,,7.75,,,,,,,,,7.2,
D23,33003835,27.35,9.0,,8.75,,,,,,,,,,9.6
D24,33003990,26.4,8.0,,9.0,,,,,,,9.4,,,
D25,33004978,22.3,7.2,,5.5,,,,,,,,9.6,,
D26,33004103,23.1,8.4,7.5,,,,,,,,,,7.2,
D28,33003835,26.35,9.0,7.75,,,,,,,,,,,9.6
D29,33003990,25.9,8.0,8.5,,,,,,,,9.4,,,
D30,33004978,23.3,7.2,6.5,,,,,,,,,9.6,,
D31,33003826,22.8,7.6,,,,8.0,,,,,,,7.2,
D33,33003288,27.05,7.8,,,,9.25,,,,,,,,10.0
D34,33003444,24.45,8.4,,,,6.25,,,,,9.8,,,
D35,33004978,24.3,7.2,,,,7.5,,,,,,9.6,,
D43,33003637,27.5,,,,,,,9.0,,8.5,,,,10.0
D44,33003399,27.1,,,,,,,9.0,,8.5,9.6,,,
D45,33003013,26.95,,,,,,,8.0,,9.75,,9.2,,
D54,33003990,26.4,,8.5,,,,,,,8.5,9.4,,,
D55,33004978,24.85,,6.5,,,,,,,8.75,,9.6,,
D63,33003710,27.75,,,,,,9.0,,,8.75,,,,10.0
D64,33003627,27.45,,,,,,9.25,,,9.0,9.2,,,
D65,33003013,26.45,,,,,,7.5,,,9.75,,9.2,,
D66,33003632,29.1,,,,9.6,,,,10.0,9.5,,,,
D69,33003819,28.25,,,,,,,,9.25,9.0,,,,10.0
D70,33003398,28.8,,,,,,,,9.5,9.5,9.8,,,
D84,33003490,28.4,8.8,,,9.6,,,,10.0,,,,,
D87,33003398,27.9,8.6,,,,,,,9.5,,9.8,,,
D88,33005109,28.75,9.0,,,,,,,9.75,,,,,10.0
