Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,42000768,28.1,8.6,9.5,10.0,,,,,,,,,,
A01,42002097,28.1,9.0,9.5,,9.6,,,,,,,,,
A02,42002097,27.5,9.0,9.5,,,9.0,,,,,,,,
A07,42014136,27.75,8.0,,,,,9.75,10.0,,,,,,
A08,42003881,27.7,8.2,,,,,9.75,,9.75,,,,,
A09,42003825,27.7,8.2,,,,,,10.0,9.5,,,,,
B00,42002212,28.15,8.4,,10.0,,9.75,,,,,,,,
B03,42011779,26.85,8.6,,,,9.75,,,,8.5,,,,
B08,42013766,27.7,8.8,,,9.4,9.5,,,,,,,,
C00,42007412,28.75,,,,,,9.75,10.0,,9.0,,,,
C01,42001920,26.75,9.0,9.25,,,,,,,8.5,,,,
C02,42002383,27.2,9.2,,10.0,,,,,,8.0,,,,
C03,42009375,26.65,8.4,,,,,8.5,,,9.75,,,,
C04,42003825,26.95,8.2,,,,,,10.0,,8.75,,,,
C05,42002169,27.5,,9.25,9.25,,,,,,9.0,,,,
C06,42002097,26.75,,9.5,,,9.0,,,,8.25,,,,
C08,42011779,27.75,,,9.5,,9.75,,,,8.5,,,,
C14,42001960,28.0,9.0,,,,,,,10.0,9.0,,,,
C19,42008712,28.75,,,,,,9.75,,10.0,9.0,,,,
C20,42008286,29.0,,,,,,,10.0,9.75,9.25,,,,
D01,42005429,27.85,8.8,,,9.8,,,,,9.25,,,,
D03,42002147,24.2,6.6,,,,,,,,8.0,9.6,,,
D04,42006300,26.9,8.0,,,,,,,,9.5,,9.4,,
D06,42006766,24.9,8.4,,,,,,,,7.5,,,9.0,
D07,42002189,28.15,8.8,,9.75,9.6,,,,,,,,,
D08,42013766,27.7,8.8,,,9.4,9.5,,,,,,,,
D09,42002377,26.95,8.6,,,9.6,,8.75,,,,,,,
D10,42001217,27.0,8.6,,,9.4,,,9.0,,,,,,
D11,42002169,27.85,,9.25,,9.6,,,,,9.0,,,,
D12,42002169,27.85,,,9.25,9.6,,,,,9.0,,,,
D13,42010954,27.15,,,,9.4,8.75,,,,9.0,,,,
D14,42008712,28.35,,,,9.6,,9.75,,,9.0,,,,
D15,42008712,28.6,,,,9.6,,,10.0,,9.0,,,,
D19,42002147,24.95,6.6,,,,,,8.75,,,9.6,,,
D20,42000789,24.7,8.4,,,,,,9.5,,,,6.8,,
D23,42006766,23.15,8.4,,5.75,,,,,,,,,9.0,
D25,42003207,22.95,7.8,,7.75,,,,,,,,7.4,,
D28,42006766,24.4,8.4,7.0,,,,,,,,,,9.0,
D30,42003207,22.7,7.8,7.5,,,,,,,,,7.4,,
D33,42006766,23.9,8.4,,,,6.5,,,,,,,9.0,
D35,42011226,22.5,7.2,,,,6.5,,,,,,8.8,,
D44,42002147,26.35,,,,,,,8.75,,8.0,9.6,,,
D45,42007933,26.3,,,,,,,8.0,,9.5,,8.8,,
D55,42003207,22.9,,7.5,,,,,,,8.0,,7.4,,
D64,42002147,26.1,,,,,,8.5,,,8.0,9.6,,,
D65,42007933,26.3,,,,,,8.0,,,9.5,,8.8,,
D66,42014016,28.65,,,,9.4,,,,10.0,9.25,,,,
D70,42002147,26.1,,,,,,,,8.5,8.0,9.6,,,
D84,42001960,28.2,9.0,,,9.2,,,,10.0,,,,,
D87,42002147,24.7,6.6,,,,,,,8.5,,9.6,,,
DD2,42005640,22.2,6.6,,,,,,,,7.0,,,,8.6
DH1,42005640,22.85,,,,,,,7.25,,7.0,,,,8.6
